,state,county,county_state_name,above_US_median_income,graduate_attainment_pct,health_insurance_pct,below_poverty_lvl_pct,occupied_houses_pct,no_vehicles_hh_pct,pop_over_18_pct
1603,17,025,"Clay County, Illinois",0,5.5,94.8,11.7,86.9,4.2,77.2
1604,17,029,"Coles County, Illinois",0,10.8,93.0,12.9,89.3,8.2,82.0
1605,17,031,"Cook County, Illinois",1,16.4,91.3,10.1,90.6,17.7,78.2
1606,17,035,"Cumberland County, Illinois",0,5.3,95.1,6.7,86.7,3.2,77.5
1607,17,037,"DeKalb County, Illinois",0,12.2,94.9,10.6,93.6,6.5,78.5
1608,17,041,"Douglas County, Illinois",0,5.8,84.1,9.8,89.7,13.0,75.2
1609,17,045,"Edgar County, Illinois",0,5.3,95.2,8.8,88.9,9.3,80.2
1610,17,047,"Edwards County, Illinois",0,3.2,93.9,7.0,86.0,5.1,77.1
1611,17,051,"Fayette County, Illinois",0,3.5,92.3,12.2,85.1,4.2,79.3
1612,17,053,"Ford County, Illinois",0,7.7,95.1,9.6,91.9,6.3,77.4
1613,17,057,"Fulton County, Illinois",0,5.8,94.3,9.9,86.1,5.1,80.3
1614,17,059,"Gallatin County, Illinois",0,4.0,96.6,16.0,82.9,7.1,79.0
1615,17,063,"Grundy County, Illinois",1,8.8,96.4,5.3,95.1,4.1,74.8
1616,17,067,"Hancock County, Illinois",0,6.5,96.4,8.8,81.6,5.2,79.0
1617,17,069,"Hardin County, Illinois",0,3.7,94.5,8.6,64.6,7.6,85.8
1618,17,073,"Henry County, Illinois",0,7.3,95.5,7.0,90.2,5.8,77.7
1619,17,075,"Iroquois County, Illinois",0,4.5,93.8,7.5,87.6,4.7,78.3
1620,17,079,"Jasper County, Illinois",0,6.6,93.3,10.3,87.1,5.4,77.3
1621,17,081,"Jefferson County, Illinois",0,6.2,93.8,11.4,86.9,6.9,77.8
1622,17,083,"Jersey County, Illinois",1,9.1,96.1,4.7,80.3,2.9,79.7
1623,17,085,"Jo Daviess County, Illinois",0,10.0,94.9,6.7,73.4,5.4,81.0
1624,17,087,"Johnson County, Illinois",0,3.9,96.0,10.0,74.2,4.4,81.8
1625,17,089,"Kane County, Illinois",1,12.2,91.8,6.2,96.1,4.3,74.5
1626,17,091,"Kankakee County, Illinois",0,7.6,94.6,9.3,88.3,7.2,77.2
1627,17,093,"Kendall County, Illinois",1,12.8,95.7,3.0,97.7,2.5,71.5
1628,17,095,"Knox County, Illinois",0,6.8,94.8,10.7,85.5,9.7,80.2
1629,17,097,"Lake County, Illinois",1,19.1,93.6,5.3,94.0,5.0,75.8
1630,17,099,"LaSalle County, Illinois",0,6.3,96.0,9.7,90.0,5.5,78.5
1631,17,101,"Lawrence County, Illinois",0,4.7,92.2,11.2,85.9,3.8,81.1
1632,17,103,"Lee County, Illinois",0,6.4,96.4,6.7,90.4,9.3,80.3
1633,17,105,"Livingston County, Illinois",0,5.4,95.3,9.5,90.4,6.2,78.4
1634,17,107,"Logan County, Illinois",0,6.2,96.3,8.2,91.0,5.6,80.8
1635,17,109,"McDonough County, Illinois",0,16.4,94.6,9.4,80.4,10.0,82.9
1636,17,111,"McHenry County, Illinois",1,11.6,95.1,4.9,95.3,3.8,76.5
1637,17,113,"McLean County, Illinois",1,15.2,96.0,8.0,91.2,6.4,78.5
1638,17,115,"Macon County, Illinois",0,7.9,95.7,11.3,87.0,9.6,77.7
1639,17,117,"Macoupin County, Illinois",0,5.9,95.9,9.1,85.3,4.2,78.8
1640,17,119,"Madison County, Illinois",0,10.3,95.1,8.5,90.6,5.5,78.2
1641,17,123,"Marshall County, Illinois",0,4.4,95.5,9.0,83.2,3.9,79.5
1642,17,125,"Mason County, Illinois",0,5.0,94.5,12.1,84.2,4.5,79.4
1643,17,129,"Menard County, Illinois",1,8.9,97.6,5.2,90.8,4.1,77.6
1644,17,131,"Mercer County, Illinois",0,6.4,96.5,7.7,87.2,4.9,78.6
1645,17,135,"Montgomery County, Illinois",0,6.8,96.0,10.3,88.5,6.7,79.9
1646,17,137,"Morgan County, Illinois",0,6.7,96.2,8.7,87.7,7.5,80.9
1647,17,141,"Ogle County, Illinois",0,7.6,95.6,6.1,92.4,6.7,77.5
1648,17,145,"Perry County, Illinois",0,3.2,96.3,14.1,88.3,7.6,80.8
1649,17,147,"Piatt County, Illinois",1,9.9,96.1,3.7,90.9,2.2,77.6
1650,17,151,"Pope County, Illinois",0,5.8,97.8,15.6,61.2,8.4,85.3
1651,17,153,"Pulaski County, Illinois",0,5.1,95.3,11.7,64.8,10.3,78.6
1652,17,157,"Randolph County, Illinois",0,5.1,95.1,8.6,86.4,6.6,80.8
1653,17,159,"Richland County, Illinois",0,7.0,96.5,7.7,86.7,6.5,76.9
1654,17,163,"St. Clair County, Illinois",0,12.0,94.1,10.1,86.7,8.7,76.5
1655,17,167,"Sangamon County, Illinois",0,13.1,96.3,9.7,91.5,7.8,77.7
1656,17,169,"Schuyler County, Illinois",0,6.6,91.8,4.6,79.2,4.2,82.8
1657,17,173,"Shelby County, Illinois",0,5.1,96.2,7.3,86.2,3.2,78.5
1658,17,175,"Stark County, Illinois",0,5.7,95.0,10.5,86.9,3.4,78.6
1659,17,179,"Tazewell County, Illinois",1,8.1,95.5,5.5,91.6,6.0,77.3
1660,17,181,"Union County, Illinois",0,7.2,93.8,12.2,85.1,7.8,78.7
1661,17,185,"Wabash County, Illinois",0,6.5,93.9,8.9,86.0,10.3,78.1
1662,37,103,"Jones County, North Carolina",0,3.4,85.0,17.9,81.2,6.5,81.3
1663,37,105,"Lee County, North Carolina",0,6.2,86.9,12.6,90.6,4.7,75.9
1664,37,109,"Lincoln County, North Carolina",0,7.2,91.0,9.1,91.7,3.9,78.9
1665,37,111,"McDowell County, North Carolina",0,5.4,88.8,10.5,85.0,6.9,80.0
1666,37,115,"Madison County, North Carolina",0,11.3,88.8,7.4,75.7,3.6,82.1
1667,37,117,"Martin County, North Carolina",0,5.6,91.1,17.2,83.0,8.2,79.6
1668,37,121,"Mitchell County, North Carolina",0,7.4,89.5,7.4,72.4,6.0,81.7
1669,37,123,"Montgomery County, North Carolina",0,5.1,87.6,11.0,63.0,5.3,78.2
1670,37,125,"Moore County, North Carolina",0,14.6,91.5,6.0,84.5,4.4,78.7
1671,37,127,"Nash County, North Carolina",0,6.5,89.5,11.9,86.5,7.2,78.1
1672,37,129,"New Hanover County, North Carolina",0,14.5,89.5,8.4,86.6,6.3,81.5
1673,37,131,"Northampton County, North Carolina",0,4.8,87.8,15.5,72.2,9.0,82.5
1674,37,133,"Onslow County, North Carolina",0,7.2,90.6,10.3,82.4,3.9,75.7
1675,37,135,"Orange County, North Carolina",1,34.8,93.3,5.2,90.2,4.8,80.5
1676,37,137,"Pamlico County, North Carolina",0,9.7,89.6,10.1,70.8,6.1,85.0
1677,37,139,"Pasquotank County, North Carolina",0,8.8,88.2,7.9,85.6,7.0,78.0
1678,37,141,"Pender County, North Carolina",0,9.7,91.0,8.9,77.2,3.4,77.8
1679,37,143,"Perquimans County, North Carolina",0,8.1,91.0,10.7,82.1,3.5,81.1
1680,37,145,"Person County, North Carolina",0,4.7,90.9,11.8,86.9,5.2,79.1
1681,37,147,"Pitt County, North Carolina",0,11.7,89.9,12.9,88.1,8.7,78.7
1682,37,149,"Polk County, North Carolina",0,12.2,89.4,6.5,78.5,4.4,83.8
1683,37,151,"Randolph County, North Carolina",0,4.6,86.9,11.5,90.6,4.2,77.4
1684,37,153,"Richmond County, North Carolina",0,6.3,89.6,18.2,83.6,9.8,77.3
1685,37,155,"Robeson County, North Carolina",0,4.7,85.8,21.2,85.9,8.9,75.0
1686,37,157,"Rockingham County, North Carolina",0,5.1,90.6,13.6,87.1,6.7,79.7
1687,37,159,"Rowan County, North Carolina",0,5.5,88.6,12.9,87.2,6.3,77.7
1688,37,161,"Rutherford County, North Carolina",0,6.2,87.1,11.9,79.8,6.6,79.5
1689,37,163,"Sampson County, North Carolina",0,4.3,84.5,14.5,83.1,5.7,75.5
1690,37,165,"Scotland County, North Carolina",0,5.3,88.4,23.2,84.4,11.4,77.3
1691,37,169,"Stokes County, North Carolina",0,4.2,89.5,11.6,87.9,2.9,81.2
1692,37,171,"Surry County, North Carolina",0,5.6,87.6,11.5,84.6,6.4,78.8
1693,37,175,"Transylvania County, North Carolina",0,12.8,85.8,10.3,74.2,3.7,84.3
1694,37,177,"Tyrrell County, North Carolina",0,2.7,87.5,14.1,74.1,5.3,86.5
1695,37,181,"Vance County, North Carolina",0,5.9,90.0,14.9,83.8,9.7,76.3
1696,37,183,"Wake County, North Carolina",1,20.5,91.5,5.4,92.9,3.7,76.1
1697,37,187,"Washington County, North Carolina",0,2.1,87.2,22.1,81.2,14.9,79.9
1698,37,189,"Watauga County, North Carolina",0,19.4,89.9,8.7,63.0,5.2,87.1
1699,37,193,"Wilkes County, North Carolina",0,4.9,88.5,12.2,85.9,5.1,79.6
1700,37,195,"Wilson County, North Carolina",0,6.7,88.1,13.8,88.0,9.3,77.0
1701,37,199,"Yancey County, North Carolina",0,8.3,87.5,9.1,66.2,5.3,81.6
1702,34,001,"Atlantic County, New Jersey",0,10.1,92.3,10.1,78.7,12.7,78.7
1703,34,005,"Burlington County, New Jersey",1,13.6,95.6,4.0,93.5,4.4,79.2
1704,34,007,"Camden County, New Jersey",1,12.3,93.6,9.2,92.4,10.8,77.2
1705,34,011,"Cumberland County, New Jersey",0,5.5,90.5,12.0,90.3,10.1,76.0
1706,34,013,"Essex County, New Jersey",0,15.0,88.7,12.6,91.3,22.0,76.2
1707,34,017,"Hudson County, New Jersey",1,17.6,87.6,10.7,91.8,31.9,79.6
1708,34,019,"Hunterdon County, New Jersey",1,22.1,97.2,2.4,94.5,3.1,80.7
1709,34,023,"Middlesex County, New Jersey",1,17.9,93.2,6.4,95.1,8.2,78.2
1710,34,025,"Monmouth County, New Jersey",1,18.6,94.7,4.3,90.9,6.8,78.8
1711,34,029,"Ocean County, New Jersey",1,10.7,95.1,6.3,80.6,6.3,75.9
1712,34,031,"Passaic County, New Jersey",1,9.6,87.4,12.1,95.2,15.9,76.2
1713,34,035,"Somerset County, New Jersey",1,25.3,94.6,3.3,94.2,4.4,78.1
1714,34,037,"Sussex County, New Jersey",1,12.4,96.2,3.5,86.7,3.2,80.3
1715,34,041,"Warren County, New Jersey",1,11.2,94.3,4.6,92.9,6.3,80.3
1716,18,001,"Adams County, Indiana",0,4.5,80.5,12.1,93.9,11.5,68.6
1717,18,005,"Bartholomew County, Indiana",1,14.5,92.2,8.8,92.1,4.9,76.1
1718,18,007,"Benton County, Indiana",0,4.2,90.9,10.9,87.7,4.1,75.0
1719,48,287,"Lee County, Texas",0,4.5,84.7,9.7,79.0,2.9,78.1
1720,48,289,"Leon County, Texas",0,3.7,80.9,13.2,69.2,3.0,77.4
1721,48,291,"Liberty County, Texas",0,2.8,76.6,11.2,85.6,5.6,73.4
1722,48,293,"Limestone County, Texas",0,5.0,81.1,15.5,77.0,4.1,77.6
1723,48,295,"Lipscomb County, Texas",0,5.8,80.8,9.4,78.9,3.3,71.4
1724,48,297,"Live Oak County, Texas",0,4.1,82.3,16.7,61.4,3.8,80.0
1725,48,299,"Llano County, Texas",0,7.4,83.3,3.8,58.2,4.1,85.1
1726,48,303,"Lubbock County, Texas",0,12.0,86.7,11.2,90.3,5.5,76.2
